Time,Length
0.927017,64
0.957397,64
1.081706,64
1.330632,64
1.330652,64
1.330711,64
1.330723,64
1.356846,64
1.376537,64
1.418563,64
1.545226,64
1.65692,64
1.736388,64
1.772621,64
1.77328,64
1.778618,64
1.779267,64
1.780613,64
1.781275,64
1.847413,64
1.90592,64
1.958963,64
1.959652,64
1.960312,64
1.961598,64
1.962274,64
1.962957,64
1.963631,64
1.964313,64
1.965595,64
