epoch,acc,loss,val_acc,val_loss
0,0.2271875,2.182122173309326,0.50375,1.843277292251587
1,0.435625,1.6814258575439454,0.73125,1.1660933113098144
2,0.578125,1.2444417238235475,0.81625,0.7710642552375794
3,0.671875,0.9638711524009704,0.865,0.5377094078063965
4,0.755,0.7441367673873901,0.905,0.397138831615448
5,0.7978125,0.6300114572048188,0.91125,0.3117243540287018
6,0.8225,0.5416851413249969,0.9375,0.25352236747741697
7,0.8596875,0.46219014763832095,0.93875,0.22524481475353242
8,0.86,0.4391445291042328,0.94375,0.21890763461589813
9,0.87875,0.3897510814666748,0.9425,0.18881463885307312
10,0.886875,0.36052696824073793,0.94625,0.17437468767166137
11,0.8996875,0.32879737913608553,0.94625,0.18431339144706727
12,0.9021875,0.32104029893875125,0.945,0.1701558855175972
13,0.8925,0.3207447719573975,0.95625,0.14251107335090638
14,0.913125,0.28394572079181674,0.95875,0.13321977198123933
15,0.9171875,0.27064829647541044,0.955,0.13661152094602586
16,0.9240625,0.25224202156066894,0.96125,0.12947954535484313
17,0.92125,0.23586676955223085,0.9625,0.11965133726596833
18,0.928125,0.24091988682746887,0.9625,0.13173995554447174
19,0.9284375,0.23081655383110047,0.9675,0.1142994225025177
20,0.9275,0.2238934302330017,0.96875,0.11188847303390503
21,0.9325,0.21126353561878206,0.96625,0.1078300827741623
22,0.938125,0.19822836607694627,0.96625,0.11173866108059884
23,0.9375,0.19688557624816894,0.9625,0.12576212346553803
24,0.9446875,0.18287041902542114,0.97125,0.10310312256217002
25,0.939375,0.19193639755249023,0.96875,0.1100876721739769
26,0.94,0.1798554253578186,0.97125,0.0986789520084858
27,0.950625,0.15769105404615402,0.97125,0.10072395473718643
28,0.9465625,0.17774083375930785,0.96125,0.11595022857189179
29,0.95125,0.1578430190682411,0.9675,0.09648356735706329
30,0.95,0.16293509811162948,0.9725,0.09684192657470703
31,0.9540625,0.14549579709768296,0.96875,0.1011544045805931
32,0.94625,0.15242151230573653,0.97,0.10017138287425041
33,0.9540625,0.15257155686616897,0.97125,0.09192467361688614
34,0.9540625,0.15079506248235702,0.97125,0.09570829004049301
35,0.9571875,0.13553855776786805,0.9675,0.10410672217607499
36,0.954375,0.145322947204113,0.9775,0.09432140380144119
37,0.9559375,0.13615921020507812,0.97125,0.08733913451433181
38,0.9553125,0.1318904222548008,0.9775,0.08377896443009376
39,0.958125,0.1236049148440361,0.975,0.08736412972211838
