epoch,acc,loss,val_acc,val_loss
0,0.605625,0.6972554969787598,0.0,0.7758288383483887
1,0.625,0.6635813784599304,0.0,0.7955864882469177
2,0.625,0.6611802005767822,0.0,0.7599724888801574
3,0.625625,0.6575178360939026,0.0,0.7383768963813782
4,0.625625,0.6518315124511719,0.035,0.7403195881843567
5,0.623125,0.651922299861908,0.0,0.9445484972000122
6,0.634375,0.6440296840667724,0.1,0.7830714559555054
7,0.644375,0.6233488368988037,0.5825,0.6971936750411988
8,0.663125,0.6190516376495361,0.365,0.7728833580017089
9,0.67,0.6093752241134643,0.2025,0.8777364325523377
10,0.68875,0.5935634326934814,0.095,1.0330700492858886
11,0.700625,0.582162618637085,0.42,0.7717917561531067
12,0.709375,0.5714059758186341,0.535,0.7480729150772095
13,0.6925,0.5776670551300049,0.4225,0.7891782498359681
14,0.7025,0.5594087314605712,0.3975,0.8126405620574951
15,0.7225,0.5446858191490174,0.86,0.5265736436843872
16,0.709375,0.5596956372261047,0.5625,0.7205460214614868
17,0.704375,0.5539961791038513,0.64,0.6904894065856934
18,0.735625,0.5392017650604248,0.4175,0.8448908424377441
19,0.7125,0.5492554187774659,0.5925,0.6985519766807556
20,0.71625,0.5408406436443329,0.57,0.7410130596160889
21,0.72875,0.5258660221099853,0.48,0.8181086778640747
22,0.734375,0.5210413098335266,0.765,0.5735818409919738
23,0.735625,0.5206065797805786,0.65,0.6652764296531677
24,0.74875,0.5143839955329895,0.8525,0.5028906059265137
25,0.74375,0.5065660619735718,0.5675,0.7346142911911011
26,0.7675,0.4939591383934021,0.82,0.5053790283203125
27,0.753125,0.4950492918491364,0.4975,0.8259578323364258
28,0.76,0.4934824573993683,0.7875,0.563520565032959
29,0.764375,0.49476314067840577,0.54,0.7665079498291015
30,0.76,0.501797149181366,0.6,0.7051048374176025
31,0.7575,0.47613452553749086,0.76,0.5470424437522888
32,0.769375,0.4741957068443298,0.655,0.6521072912216187
33,0.7775,0.46767999649047853,0.7025,0.6132137608528138
34,0.766875,0.45589772701263426,0.7575,0.5438188409805298
35,0.774375,0.46754361152648927,0.5225,0.7875628519058228
36,0.789375,0.4544158387184143,0.7675,0.5152828693389893
37,0.789375,0.45040413856506345,0.24,1.202063388824463
38,0.78875,0.4485649156570435,0.715,0.5842206048965454
39,0.78875,0.4571431803703308,0.67,0.612278139591217
